assetId,zoneId,assetType,criticalityLevel,operationalStatus,hallId,rowId,rackId,capacityGroupId,assetClass
ASSET-GEN-GPU-SCN-20260611,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-001,ROW-GEN-001,RACK-GEN-001,GPU-POD-GEN-001,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260611,ZONE-GEN-POWER,UPS Feed,critical,degraded,HALL-GEN-001,ROW-GEN-001,POWER-RACK-GEN-001,,POWER
ASSET-GEN-CHW-SCN-20260611,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-001,,,,COOLING
ASSET-GEN-DCIM-SCN-20260611,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,degraded,HALL-GEN-001,ROW-GEN-001,RACK-GEN-001,GPU-POD-GEN-001,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260612,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-002,ROW-GEN-002,RACK-GEN-002,GPU-POD-GEN-002,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260612,ZONE-GEN-POWER,UPS Feed,critical,monitor,HALL-GEN-002,ROW-GEN-002,POWER-RACK-GEN-002,,POWER
ASSET-GEN-CHW-SCN-20260612,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-002,,,,COOLING
ASSET-GEN-DCIM-SCN-20260612,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-002,ROW-GEN-002,RACK-GEN-002,GPU-POD-GEN-002,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260613,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-003,ROW-GEN-003,RACK-GEN-003,GPU-POD-GEN-003,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260613,ZONE-GEN-POWER,UPS Feed,critical,stable,HALL-GEN-003,ROW-GEN-003,POWER-RACK-GEN-003,,POWER
ASSET-GEN-CHW-SCN-20260613,ZONE-GEN-COOLING,Chilled Water Loop,high,degraded,HALL-GEN-003,,,,COOLING
ASSET-GEN-DCIM-SCN-20260613,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-003,ROW-GEN-003,RACK-GEN-003,GPU-POD-GEN-003,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260614,ZONE-GEN-COMPUTE,GPU Pod,critical,monitor,HALL-GEN-004,ROW-GEN-004,RACK-GEN-004,GPU-POD-GEN-004,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260614,ZONE-GEN-POWER,UPS Feed,critical,stable,HALL-GEN-004,ROW-GEN-004,POWER-RACK-GEN-004,,POWER
ASSET-GEN-CHW-SCN-20260614,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-004,,,,COOLING
ASSET-GEN-DCIM-SCN-20260614,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,degraded,HALL-GEN-004,ROW-GEN-004,RACK-GEN-004,GPU-POD-GEN-004,CONTROL_TELEMETRY
